,phrase
1447,"Да у Де Генина с Татищевым были хорошие отношения, они только в дёсна не целовались. "
1448,"Небольшая, но огромная подсказка."
1449,Клён американский - знайте врага в лицо!
1450,"Если вы не знаете, что делать, нужно обнулить."
1451,"Вы уже разбираетесь, как ловить эти ясности мозга. "
1452,Лучший подарок от мужчины на Новый год — это отрицательный тест ВИЧ. 
1453,"Стильно, модно, молодежно - самая крутая пацанская реформа 1864 года."
1454,Философы у власти - это страшное дело. 
1455,"Как прекрасно, что мир состоит из мужчин и женщин!"
1456,"В наше время считалось, что если студент к диплому не научился играть в преферанс, то у него нет высшего образования…"
1457,Самый сексуальный орган - это мозги… Это все так говорят.
1458,"Шизануться можно легко и непринуждённо, все об этом знают."
1459,Выпил с утра - и весь день свободен! 
1460,Хаммурапи посмеялся бы над Учредительным собранием. 
1461,"Я бы с удовольствием отдохнул год от учебы и просто посидел в университете, но к сожалению так нельзя. Иначе университет отдохнёт от меня.. "
1462,И дальше мы держим мячик Оксимирона…
1463,Тимс... он такой нежный.
1464,"Больше скринов, богу скринов."
1465,"Коши в контер страйк не играл, время доказывать было."
1466,"А кто не понял, будет страдать и плакать столько, сколько изучает ДжаваСкрипт."
1467,Когда девушки меняют фамилию - это прекрасно.
1468,"Я с них ору, это как бы лол, это вообще. "
1469,Болт он и в Африке болт. 
1470,"С: Следующая лабораторная будет последней? П: Последней? Я думал, что вы продолжите учиться на физтехе. "
1471,"Да я знаю что вам сейчас нравится:  секс, власть и мат."
1472,"Представьте, что моя голова это яичник. "
1473,"Умереть легко, а сдать экзамен у Иванова сложно. "
1474,"Вообще, все грибы можно съесть. Просто некоторые только один раз."
1475,В школах нельзя учиться.
1476,У нас лабораторных на ядерную физику нет. Атомную бомбу взрывать не будем.   Гребенкин С.В. 
1477,"Вам надо починить машину, а Вы едете к стоматологу."
1478,"Вот мы сейчас с вами занимаемся, а эта информация хранится черт знает где... У американцев, на их серверах. Ну да ладно..."
1479,"У вас стакан с водой перед камерой, заряжайте его историческим знанием! "
1480,"До свидания, расставание не для нас. "
1481,"Гомополимер - что это? В хорошем смысле, острить здесь не надо."
1482,"Видимо, это идеал того времени для животных: довести себя до истощения и быть изображенными на скале. "
1483,"Я вас не вижу…  Ладно, главное, чтобы меня слышали и видели."
1484,На нет и Артемиды нет.
1485,Преподаватель заболел всем семейством и ушел в подполье.
1486,"Ребята, это кринж... "
1487,"Мы не деканат, мы не требуем справок от врача-психиатора. "
1488,Лингвист должен знать все!
1489,Берём ток AC и делаем конфетку. 
1490,"Все, что я пишу - правильно. Мне за это деньги платят."
1491,Че вы такие грустные? Лабораторная работа при-коль-ная!
1492,"Если пожар у входа и мы не можем выйти, а на 4 этаже в окно – не вариант, то у нас же есть телефоны, звоним в деканат и просто говорим, что у нас пожар, они поймут. "
1493,"У соли есть папа и мама. Папа-основание, мама-кислота. Нуу, основание конечно среднего рода, но в наше время и такое бывает..."
1494,С вами была студия Электротехники и ваш лектор Громов. 
1495,П: ... А я кстати тоже не переписывался. С: Значит Вас не существует. П: Я давно это знаю..
1496,"С: а как окончательный диагноз поставить и лечить?  П: ну, мы должны помнить, что окончательный диагноз может поставить только патологоанатом. "
1497,"Закон Ома, мы работаем, а они дома. "
1498,"Я сам себе сейф, и я сам себя должен взломать, чтобы понять."
1499,"Запомните это. Вы же не только должны научиться заметки писать, мы же не в ПТУ."
1500,От меня как от папы ничего скрыть не получится
1501,“Идите-ка вы на три буквы! А точнее в суд!»
1502,Получите «Пушкинскую карту» и посетите музей мороженого на 89 этаже Москва-Сити БЕСПЛАТНО! 🤩
1503,"Занятие 1 апреля: «С днём дурака, с нашим профессиональным праздником, друзья!»"
1504,"«Женщины особо опасны весной… , т.к женщина - кошка»"
1505,"«Как писал Эпикур, боги блаженны и бессмертны»."
1506,"«Не хотите быть идеальными — умрите» это не я говорю, это Шекспир"
1507,От ребёнка вообще крайне тяжело избавится законно…
1508,Лекция. Кто то с задних парт хихикает. - Кто там такой невозможно веселый? Всем грустить и сидеть писать!
1509,–Почему не спишь? –Не могу уснуть.  –Так выпей..!) –Так я не пью.  –Поэтому и не спишь.)
1510,"«Слово-не воробей, не поймаешь-вылетишь»"
1511,"Чем выше температура окружающего воздуха, тем меньше студентов ходят на лекции"
1512,"— Запомните, есть позитивное право, но нету никакого негативного права!"
1513,"""Ну что же вы делаете? Войдите в вагину уже!"""
1514,"Скиньте мне вопросы, а то лень в Туис заходить. Там логин и пароль тупой. "
1515,"""Боюсь у меня неполадки, но не с компьютером, а по жизни"""
1516,"«Если бы бабкам давали килограмм сахара за каждого бендеровца, их бы уже не было…»"
1517,"""Попробуйте подойти к ребёнку, попробуйте ударить этого ребёнка""."
1518,"""Без смазки ничего нормально не работает""."
1519,"«Ничего не снимать, снимают только додики»"
1520,"« - Плохой врач что сделает с пациентом?  - Угробит… - Правильно, угробит и сядет в тюрьму! А хороший врач?.. *молчание* - ..тоже угробит, но в тюрьму не сядет.» (с) Гистология, Гринберг М.В"
1521,"урок анатомии, мини-диалог: *подходит преподаватель к студентке, она пугается и говорит: - о Господи .. - ну, зачем же так официально? можно просто Андрей Владимирович :)"
1522,"""Сейчас вам наброшу, так сказать, на вентилятор"""
1523,"«Вы думаете я идиот? Я может и похож на идиота, но я не идиот»"
1524,"«Что касается нашей христианской культуры…Ну как нашей, вы там, может, состоите в секте летающего макаронного монстра»"
1525,"«Давайте думайте, а я пока схожу за сигареткой»"
1526,"""Дьявол играет нами, когда мы не мыслим"""
1527,"«Я вам объясняю на рублях, потому что на рублях вы все понимаете, а на килоджоулях почему-то нет.»"
1528,"«Эх… даже гороскоп не читаете, что ж говорить о физиологии…» "
1529,"Общение с учениками на дистанционке - как секс по телефону, вроде есть, но никаких ощущений!"
1530,«Соскучились? В курилки идите и там целуйтесь в засос»
1531,Только я комментирую ответы. Кто хозяин? Я хозяин! 
1532,"Уже на Украине выдвинута теория о том, что украинский язык зародилась в палеолите Как сказал мой знакомый, ""хохлопитеки"""
1533,"""Представьте себе, что вы личность..."""
1534,"Ну давайте познакомимся, что у вас на рабочем столе.  *Смотрит на свой стол*  Что это за хрень в колбе, я не знаю. У вас слава богу ее нет. "
1535,"Согласитесь, наверное, что большинство людей, после того как утром проснуться, в окно не выходят. "
1536,"«Грубо говоря, чтобы будет, если кинуть 10 маленьких детей в подвал и общаться с ними на эльфийском»"
1537,"«Женщина за 30 - старуха, мужчина за 30 - спелая мужчина» "
1538,«Какие-то все картинки оживлённые… Не дают представление о мрачном унылом небытии»
1539,Получите «Пушкинскую карту» и посетите музей мороженого на 89 этаже Москва-Сити БЕСПЛАТНО! 🤩
1540,"«Они так много привезли, всё то, что сейчас есть у каждого дома: клубничку, кофе, сигаретки, сифилис»"
1541,"""Все же знают, как выглядит бомжи? Да вы даже знаете, как они пахнут!"""
1542,"«Простата даёт сперматозоидам фермент и они будто чашку кофе выпили: сразу они становятся жизнерадостными, подвижными и даже появляется цель в жизни» "
1543,"«Вы понимаете, что человек с фамилией Кадырова никак не может симпатизировать человеку-носителю русской православной патриотической идеи»."
1544,-У меня нет Windows на компьютере  -Выкиньте тогда свой компьютер
1545,"-Итак, рассмотрим стандартную задачу, у нас 15 детей в мешке, 10 мальчиков и 5 девочек..... -Ещё одна стандартная задача. Приходит пьяный Дедушка Мороз на Новый год и перепутывает подарки......"
1546,"Следующий слайд... Классификация водоёмов... не надо, не хочу!"
1547,"«Ну что,  карапузики, пойдём по норам?»"
1548,«Это всё ваше сытое зумерство».
1549,"-Что делать,если не прогружает задание? -Отчисляться "
1550,"""Как мы понимаем, что влюблены? Начинаем вести себя по-идиотски!"""
1551,"Сообщение: «Здравствуйте, я больше не обучаюсь в иия»  -Ну и славу богу"
1552,"- Что-то слышали вообще обо мне? - Да всякое там рассказывали. - Знайте же, я хуже!"
1553,"- Что развивается у человека при туберкулëзном поражении лёгких?  *девочка кашляет* - Правильно, кровохаркание. "
1554,"«Ух ты, какой я умный»"
1555,"""У меня есть своё мнение, но я с ним не согласен"""
1556,"«Вас так много в группе…Надеюсь, скоро повыгоняют» "
1557,"Самую большую психологическую травму я получила при работе с психологами, так что делайте выводы."
1558,- Можно задать вопрос не по лекции?  - Про любовь?
1559,"Медицинский институт, лечебное дело, пара по анатомии.  Студент: Вы не могли бы показать где на препарате желудочки?  Преподаватель: Нет. Студент: Почему? Преподаватель: Мне лень. "
1560,Первое время у вас будет болеть рот
1561,"Упал провод от компьютера, студент спрашивает: - вам поднять провод?  - можешь поднять, а можешь не поднимать - зависит от твоего внутреннего мира.  - у меня богатый внутренний мир..  - будь он богатый, ты бы не спрашивал. "
1562,"""Анатомию на 5 знают только Бог и Я!!"""
1563,"Кто вам такое сказал?  Мой совет: плюньте им в лицо, запишите это все на камеру и выложите на ютуб.   "
1564,Хочешь усложнить человеку жизнь - подари ему подарочный сертификат. 
1565,"""Он ей пистолет подарил, она застрелилась... Гениальный чёрт"""
1566,«Моча – это радость врача». 
1567,"«Каждый человек, заботящийся о своём будущем, знает, какие реки текут в подземном царстве». "
1568,"Спать надо ночью, но в вашем возрасте вообще не надо спать."
1569,"""Совместное убийство объединяет"""
1570,"Ну что смотришь, баклажан?    (с) Оразмурадов А.А"
1571,"«Я обязана сказать, что я вам рада, но я не рада». "
1572,"""Ветеринарный врач должен уметь ругаться матом!"""
1573,"П: так, все верно, Шопенгауэр считал, что вся жизнь - страдания. Как вы думаете, что он считал высшей целью? С: ...поскорее закончить эту жизнь? П: неееет, сострадание! Различайте, пожалуйста, эмо и Шопенгауэра!"
1574,«Теперь главный вопрос нашего семинара: почему в Париже столько карликов?»
1575,"""Все приличные журналисты у нас курящие"" "
1576,«Ох уж эти фанфики»
1577,"""Ахаляй, махаляй, в иске отказать"" "
1578,"""у кого что болит — тот про то в чат и пишет"" "
1579,"– Я добрый как Христос, Христос номер один, а я номер два! (с) Мескин В.А"
1580,-Как твои дела? -Ликвидирую коллёквиумы и зачёты! -А преподавателей ты у нас не ликвидируешь?))) (с) А.Н.Синельникова. Физиология
1581,"«Если я поверю в менталитет, я поверю в астрологию, затем в алхимию и начну искать философский камень»"
1582,"Это то, о чем  я уже говорила... Вернее, то, о чем я ещё не говорила, но сейчас скажу..."
1583,"🌍 Глобальный онлайн-хакатон от Value Network Labs  Главный спонсор - QTUM https://qtum.org/ru    🚀Старт 15 июня 2021  🏆Призовой фонд составляет $15,000 VNTW.    Команда Value Network (https://valuenetwork.live/) приглашает вас принять участие в глобальном хакатоне!  Хакатон будет поделен на три соревнования:  📈 Трейдинг  - Создать трейдинговую стратегию и применить её на рынках предсказаний  🤖 Разработка  - Разработать решения, связанные с on-chain стратегиями на рынках предсказаний, трейдинговыми протоколами, DAO механиками, NFT  - Экспериментирование с токеномикой  🗣 Маркетинг  Придумать решения для привлечения пользователей к рынкам предсказаний и их стратегий    $15,000 VNTW будут поделены между тремя лучшими командами в каждом из соревнований.    🙋🏻‍♀ Подробности о регистрации, участии и о самом хакатоне можно узнать у нас (https://t.me/fraumacario), пишите :"
1584,"*ребята пришли после того, как их вызвали помочь с тяжестями* -Идут титаны, походку попроще сделайте, а то гранитные столы посшибаете"
1585,"— Дети, учите латинский, в аду с вами никто по-английски разговаривать не будет. "
1586,"-Александр, вы согласны с чосинусом?  -Нет  -Надо согласиться, ребята, давайте применим общественное давление   -Да, все правильно (одногруппники)  -Александр, мы на вас давим, пора согласиться  -Ладно  -Вот вам урок демократии "
1587,"- Направляю Вас к Гарри Поттеру, он лучше расскажет про алхимию"
1588,"- Петрус есть в аудитории?! — Есть! Я не слышал. Мало ли к кому вы обращаетесь.  - Конечно, котик. У нас же тут вся аудитория Петрусов. Меня в детстве тоже Петрус звали. "
1589,"""Если ты пощупал любовь, значит, ты пощупал что-то другое"""
1590,"""Живет, живет, живет, живет, живет и бац, больше не живет"" ""Но умирание не наступает в момент смерти, оно начинается с начала жизни"""
1591,"Эту тему, которую я вам как птенчикам положил в клювики, ассимилируйте! "
1592,"День пошел на увеличение, чувствуете, как солнышко стучится к вам в окно? Нет? Ну тогда почувствуете,  как к вам стучится гражданское право!"
1593,"Я не помню, говорил ли вам, какая у меня прекрасная память? "
1594,"""Хороши волосы с пробором, а  ребёночки с промором""."
1595,Будет больно. Так что расслабьтесь и получайте удовольствие.
1596,Лекция по административному праву:
1597,Что-то у меня аватарки ваши не показываются. Так грустно без котиков
1598,"«Если вы чего-то не понимаете, то лучше понять»."
1599,Прости господи этот ваш тик-ток
1600,%Студент выступает с презентацией по политологии%
1601,"Добавили наши стикеры в раздел ""Товары"". Теперь они всегда будут на виду, если вы когда-нибудь хотели их купить и почему-то ещё этого не сделали. "
1602,"- Лучшая участь украинской девушки - это вначале попрыгать на майдане, а потом в Швеции на шведе."
1603,*Про Инстаграм*
1604,*О работах по биоэтике*
1605,*Идёт проверка домашнего задания на семинаре*
1606,*Дистанционная пара в Zoom*
1607,"– Кто в Марокко из вас был? Никто? У-у, темнота. Надо вам побывать. Там мандарины хорошие."
1608,"— Интересно, как сексом заниматься в гамаке?"
1609,"- За убийство нас сажают, к сожалению, а то я бы..."
1610,"- Скоро ваше получение знаний закончится, и я надеюсь, что вас больше не увижу."
1611,- Мир познаешь - это когда жабу душишь… или сжигаешь на костре.
1612,"-Baby, отдохни в своей колыбельке!"
1613,*Про многократные обещания студента подготовиться к семинару*
1614,"П(обращаясь к студенту): в жизни вообще нет друзей и врагов, в жизни есть только интересы  С: а любовь? П: любовь только по пятницам..."
1615,*Опоздавший студент заходит в кабинет*
1616,"--Жена она как старый жигуль, на всю жизнь! Пока не заржавеет... "
1617,"- Советская бабка - это не то, что сейчас московская бабка... Московская бабка - это злодей."
1618,*В аудитории открыто окно*
1619,- Сожительство - это ночь после дискотеки.
1620,"- Я никогда не ругаюсь, просто злюкаюсь... иногда грубо."
1621,*Преподаватель заходит в аудиторию*
1622,- Школа — место лишения свободы для детей
1623,"- В политологии существует и такое понятие как оппозиция. В России она кстати тоже присутствует и делится на два вида: есть системная оппозиция, которая сидит в Госдуме, а есть несистемная, которая сидит немного в другом месте. "
1624,"- Зачем министру культуры машина? Пусть ездит на метро. А министр спорта бегает за поездами! Если не добежит, как говорится, то заменим на тех, кто добежит."
1625,"- Так, у меня сейчас будет инфаркт мозга."
1626,"П: *чихает*. С: Будьте здоровы! П: Что вы врёте, вы меня не любите и не надо мне здоровья желать. Говорите честно: Гусёк, чтоб ты сдох!"
1627,"С: «…примером первой формы социальной несовместимости является ситуация, когда генеральный член крупной компании в своей семье не является главой семьи, эту роль занимает жена». П: Это называется подкаблучник!"
1628,"- Сами понимаете, в какой стране живём, для карьеры иногда надо кому-то полизать, но как меня учил один генерал, если тебе слишком часто лижут, опасайся, может быть, это смазка."
1629,"— У вас дети дерутся, вы же не будете их убивать! Так... по лещу раздал и всё."
1630,"— Я не прошу вставать, но раз уж встали, то вставайте все."
1631,П: Какой максимальный срок исковой давности? С: 5 лет. П: Вы убили меня морально.
1632,"— Честное слово, задолбали ваши разговоры. Четвёртая пара, я устал, а тут ещё и доклады какие-то слушать…"
1633,#Новости@citatki_prepodov_rpa
1634,— Самое стабильное место - это кладбище...
1635,– Чем больше работаешь - тем меньше работы.
1636,"- Если вы думаете, что мужчины между собой говорят о женских ноготочках, то вы ошибаетесь. Они говорят о совсем других частях тела, поверьте мне."
1637,"*Идёт выяснение, кто является ответчиком по делу*"
1638,"- Если после Биг-Тейсти есть Биг-Мак, то это все - испорчено."
1639,"- Все научились различать красоту и сексапильность к 18 годам? Запомните, красота она для народа , а сексапильность - это когда хочешь из вертикального положения перейти в горизонтальное..."
1640,*Преподаватель сетует на низкую посещаемость*
1641,"- Двуполые, однополые целуются, какая разница, мне приятно!"
1642,"П: Так какую цифру необходимо взять на графике? С: 1,25. П: А кто до этого дошёл? С: Вы... П: И это я ещё не обедала! #Софина@citatki_prepodov_rpa (Экономика"
1643,"— Мы пользуемся чисто медицинскими терминами: идиоты, имбецилы и дебилы. Вот дебилы — это уже почти люди."
1644,"П: Вы знаете эту теорию? С: Если честно, нет. П: Сейчас попробую объяснить. У вас окно рядом?"
1645,*Студентка слишком крупно пишет число 27 на графике*
1646,"- Знаете ли... был бы человек, а статья найдется!   #Якушев@citatki_prepodov_rpa (История государства и права зарубежных стран"
1647,*Рассказ про увольнение сотрудника*
1648,"П: Если я покупаю, что это показывает? С: Что Вы крутой! П: Что я крутой и богатый, верно!"
1649,"*Тема «Приватизация», идёт обсуждение возможности отказа одного участника от своей доли в пользу другого*"
1650,"- Темно утром уходишь на работу, темно вечером возвращаешься домой. А жить-то когда?"
1651,- Есть два великих демократа: Байден и я.
1652,"- Не люблю советских судей. Вот буржуазные судьи - это другое дело. Красивые, чистые, грамотно изъясняющиеся."
1653,*Преподаватель обращается к студенту*
1654,*Студент опаздывает на пару*
1655,"-Так, давайте перейдём к развитию права. Я сегодня ещё хочу начать Советский Союз строить, а то как мы без него - это же ужас какой-то..."
1656,— У нас когда там следующая пара? 14 февраля? В день всех влюбленных что ли?
1657,"- О, какие вредные птицы... ладно, не буду их прогонять."
1658,"С: Я всё. П: Ты главное так на 14 февраля не скажи, а то 23 аукнется."
1659,- Если все зубы на месте - вы хорошо фильтруете базар.
1660,- Инклюзивный капитализм... Почитайте... Вообще со смеху умрете.
1661,"— Водка - это хорошо... а нет, водка плохо, а коньяк - хорошо!"
1662,*Идет семинар*
1663,"- Ну бывает так иногда, переволновался - убил человека."
1664,*На лекции перестал работать компьютер*
1665,"- Я постараюсь всё организовать быстро, хотя у меня это получается не всегда. Точнее, никогда."
1666,— Настал тот долгожданный день... — Когда вы от нас избавитесь? — Да! 
1667,"— Михаил Юрьевич, мы забыли, как называется вот эта штука, когда ты приходишь к батюшке и рассказываешь ему всё...  — Исповедь, сын мой, исповедь! Давно тебе пора сходить! "
1668,"- На экзамен выносятся несложные вопросы: понятие бюджета, определение финансов, финансовой деятельности - Это тест на IQ? - Нет, это экзамен по финансовому праву."
1669,"- Это были 90-е годы, был клуб один, название не помню. Мы туда один раз приехали, и я видел одну вещь, мне понравилось. Женская борьба в макаронах. Жёлтая лапша, и они боролись! Я давно такого не видел. Студентки подрабатывали наверно, очень скрепно. В шоколаде не скрепно, а вот в макаронах!"
1670,"- У меня ослаблен барьер между сознательным и бессознательным, поэтому я вижу будущее."
1671,"- И раздали все «честным» людям: Абрамовичам, Потаниным... Чубайсикам всяким."
1672,"- Работаю в нескольких вузах... прихожу еле живой, скоро вперёд ногами вынесут. Я таких преподавателей, как я, называю проститутками."
1673,- Пыточки - неотъемлемая часть процесса...
1674,#Новости@citatki_prepodov_rpa #Розыгрыш@citatki_prepodov_rpa 
1675,"- Родители ещё более-менее вменяемые , а бабушек держите при себе."
1676,*Преподавателю настроили микрофон для прочтения лекции*
1677,"П: Есть ли вред от гипноза? С: Ну, как такового вреда нет, человек получает расслабление в этом состоянии... П: Это не оргазм, не путай!"
1678,"- Шеф - это, грубо говоря, самый главный, который ничего не делает. Шефом в Российской Империи могли быть и вы, если Вы какая-нибудь принцесса."
1679,"*Идет разговор о том, что Россия уже не та*"
1680,"- Что ""почти""? У нас юриспруденция - самая точная из наук! У нас не бывает ""почти""!"
1681,"- Шансон запрещают петь, это пропаганда АУЕ, пропаганда экстремизма."
1682,- Из вас есть любители положить шлакоблок на среднюю педаль?
1683,"- Зачёт это тройка. Зачёт не сдать уметь надо. Нет, бывают, конечно, талантливые люди..."
1684,*Идёт разговор о переписи населения*
1685,
1686,#Новости@citatki_prepodov_rpa #Розыгрыш@citatki_prepodov_rpa 
1687,*Преподаватель заинтересовался аватаркой студента в Zoom*
1688,- А и Б... не сидели на трубе. Граждане А. и Б. совершили налёт на инкассаторскую машину...
1689,"С: Можно выйти? П: Выйти это хорошо конечно, но не забудьте зайти потом."
1690,"- Так, спокойно, давайте женщину не слушать. А если вы когда-нибудь будете слушать - наоборот поступайте."
1691,*Конец пары*
1692,*Преподаватель старосте*
1693,- Нечестная игра у нас только в казино... и Рослото.
1694,"- Духоскрепный Zoom, хоть и американский. Умеют умные вещи делать."
1695,*Преподаватель рассказывает про расследования жандармов в 19 веке*
1696,"- В институте нам приводили одно из дел. Мы долго смеялись... В стиральной машинке решили постирать домашнее животное. Это привело к неблагоприятным последствиям. В общем теперь на машинках пишут о том, что животных в машинке лучше не стирать."
1697,*Разбираем вопрос о невменяемости и ее критериях*
1698,"- Есть у вас свободные какие-то пятьдесят тысяч, надо сделать, чтобы они не просто лежали на полке шкафа и обесценивались."
1699,"*Преподаватель описывает деяния, связанные с незаконным оборотом оружия"""
1700,Экосовет гимназии организовал субботник в Мещерском парке для студентов гимназии 🌳 
1701,"📝 В новый выпуск ежегодного британского рейтинга мировых университетов QS World University Rankings 2022 вошли 1300 университетов мира. Россию в рейтинге представляют 47 вузов.      Год назад российских вузов в рейтинге было 32. Перечень университетов возглавили:  МГУ им. М.В. Ломоносова (78-я позиция),  СПбГУ (242-я позиция),  Новосибирский государственный университет (246-я позиция),  Томский государственный университет (272-я позиция)  МГТУ им. Н.Э. Баумана (281-я позиция).      🆕 Впервые вошли в рейтинг 16 российских вузов. Среди «новичков» рейтинга лучшие результаты у БФУ им. И. Канта и Сеченовского университета"
1702,Параллель первых классов создала первый мультфильм «Времена года» по итогам исследовательской работы 🌱
1703,"👋🏻 Привет, с вами Таисия Мищенко и Аня Манжула из волонтерского центра гимназии. Мы учимся в 8 и 9 классах и развиваем направление добровольчества и помощи различным группам нуждающихся. Недавно гимназию посетила директор московского филиала [club239781|Ночлежка] – Дарья Байбакова. "
1704,📚 👩‍💻👨🏻‍💻 Весна — период определения студентов 9 классов и выбора траектории дальнейшего обучения в старшей школе (10—11 классы). Обучаться по программе Федерального государственного образовательного стандарта (ФГОС) либо по Дипломной программе Международного бакалавриата (DP IB) — решают сами студенты. 
1705,"🖼 С прошлого учебного года в подготовительной А группе формируется настоящая картинная галерея, где собирается коллекция работ студентов. Все благодаря исследованию трансдисциплинарной темы «Как мы выражаем себя?» "
1706,"Второй печатный номер студенческого литературного журнала «Тритон» в гимназии 📚    Поздравляем ребят с этим событием! 👏  От лица редакции выражает признательность всем, поддержавшим инициативу издания печатной версии журнала, внесших значительный вклад в возможность ее реализации и благодарим:  Джордж Ренату  Новикова Андрея  Гуленкову Юлию  Королеву Елену  Евколиди Дмитрия  Молчанова Артема  Орлова Андрея  Калогеропуло Дмитрия    В ближайшее время ребята будут готовы передать памятные экземпляры журналов.    Все студенты гимназии могут почитать журнал в Информационно-библиотечном центре, а также в электронной версии по ссылке. https://disk.sk.ru/index.php/s/xbE4yaN1fIib0e"
1707,"✅ Сегодня студенты 8х классов, выбравших стажировочное направление «Урбанистика», побывали в офисе архитектурного бюро [club193454784|ATLAS]."
1708,"После завершения научно-практической конференции прошла почти неделя, но кажется, будто это было вчера 💜"
1709,💫 Математика — творческая наука? 
1710,"🌎 Друзья, по случаю Дня Земли, который прошёл 22 апреля, в гимназии кафедрой естественных наук был объявлен сбор макулатуры.    Вчера последние коробки, газеты и журналы покинули территорию гимназии и отправились на переработку в ООО «Мосвтор».    Всего студентами было собрано 880 килограммов макулатуры!  Лидерами сбора стали 2С, 5С и 6В классы 🥳    Ребята заработали 3250 рублей, а за два года сумма сбора составила 5750 рублей! В ближайшее время на вырученные средства студенты отправятся на увлекательную экскурсию в Музей Мусора ♻      Благодарим всех участников!  #c_заботой_о_планет"
1711,"«Изучая города мира, мы получили возможность познакомиться с рукотворными сокровищами человечества». Так параллель третьих классов завершила 5-ю тему исследования «Где мы во времени и пространстве».    Ребята изучали факты и связи в рамках понятий, явлений и феноменов:  🔸 географическое расположение городов,  🔸 города, отражающие исторические изменения,  🔸 Золотое кольцо России,  🔸 европейские столицы,  🔸 культурные ценности города,  🔸 особенности народа.    В результате исследования ребята организовали «Музей путешествий» и презентовали в атриуме гимназии «рукотворные сокровища». "
1712,"Несмотря на то что гимназия Сколково — молодое образовательное учреждение, мы накопили достаточно экспертизы по различным вопросам образования, поэтому решили делиться ею в простой и доступной форме."
1713,💫 В гимназии началась научно-практическая конференция студентов «Современные достижения науки и технологии». Конференция будет проходить три дня — с 20 по 22 апреля.
